Sheet,Name,Value,Description
Settings,OrchestratorQueueName,PixelData_Programari,"Rând existent în template: se schimbă doar valoarea. Coada din care robotul ia programările."
Settings,OrchestratorQueueFolder,PixelData,"Rând existent în template: se schimbă doar valoarea. Folderul Orchestrator în care stă coada."
Settings,logF_BusinessProcessName,PixelDataProgramari,"Rând existent în template: se schimbă doar valoarea. Numele procesului în loguri."
Settings,PixelDataExePath,TODO,"Rând nou. Calea completă către executabilul PixelData pe laptop, de exemplu C:\...\PixelData.exe (de verificat pe laptop). Folosit de Login.xaml (pornire) și KillAllProcesses.xaml (numele procesului)."
Settings,PixelDataMappingsPath,Data\pixeldata-mappings.json,"Rând nou. Calea fișierului de mapări, relativă la folderul proiectului. Citit o dată, în InitAllApplications."
Settings,PixelDataCredentialAsset,PixelData_RobotLogin,"Rând nou. Numele Credential asset-ului din Orchestrator (folderul PixelData) cu userul și parola PixelData ale robotului. Se citește cu Get Credential în InitAllApplications. Nu se pune în foaia Assets: InitAllSettings citește foaia Assets cu Get Asset, care nu întoarce Credential assets (de verificat)."
Constants,MaxRetryNumber,0,"Rând existent în template: valoarea rămâne 0. Coada PixelData_Programari are Auto retry = ON (maximum 1), deci Orchestrator reîncearcă itemul după o excepție de sistem. O valoare peste 0 ar adăuga retry-ul REFramework peste cel al cozii, iar un item ar fi procesat de mai multe ori."
Constants,RequireCnp,True,"Rând nou. True: un item fără CNP se oprește cu CNP_REQUIRED (excepție de business). False: robotul caută pacientul după nume."
Constants,PastToleranceMinutes,30,"Rând nou. Cu câte minute poate fi ora programării în trecut când robotul ajunge la item. Peste această toleranță: APPOINTMENT_IN_PAST (excepție de business). Valoare de pornire, de stabilit cu clinica."
Constants,PixelDataStartTimeoutSeconds,90,"Rând nou. Cât așteaptă robotul fereastra de login și apoi ecranul principal după pornirea PixelData. Depășit: PIXELDATA_UNAVAILABLE."
Constants,UiElementTimeoutSeconds,30,"Rând nou. Timeout pentru Click, Type Into, Select Item, Get Text, Extract Table Data și așteptarea unui ecran în PixelData. Depășit: PIXELDATA_UI_TIMEOUT."
Constants,PopupCheckTimeoutSeconds,5,"Rând nou. Cât așteaptă Check App State apariția unei ferestre pop-up (de exemplu după Salvare). 5 secunde este valoarea implicită a activității."
Constants,SaveConfirmTimeoutSeconds,30,"Rând nou. Cât așteaptă robotul ca programarea salvată să apară în grila PROGRAMĂRI. Depășit: PIXELDATA_SAVE_UNCONFIRMED."
